"","KO-3","KO-2","KO-1","WT-3","WT-2","WT-1"
"ENSDARG00000104632",19,31,135,17,56,34
"ENSDARG00000100660",45,58,126,56,76,203
"ENSDARG00000098417",9,2,10,6,17,11
"ENSDARG00000100422",7255,5542,5049,8212,8041,26664
"ENSDARG00000102128",253,330,726,246,435,1138
"ENSDARG00000103095",480,557,629,672,756,1936
"ENSDARG00000102226",213,304,211,109,85,369
"ENSDARG00000104049",520,648,606,423,504,1807
"ENSDARG00000102474",1285,1349,1338,1080,1228,4396
"ENSDARG00000100143",2665,2420,2438,2477,2880,6896
"ENSDARG00000101771",0,1,0,0,4,4
"ENSDARG00000104839",239,338,634,236,416,1000
"ENSDARG00000104373",2066,1928,1775,1260,1480,8059
"ENSDARG00000098311",598,508,439,679,641,2576
"ENSDARG00000102121",43,15,26,26,34,152
"ENSDARG00000102123",1898,1786,1631,1659,1856,6880
"ENSDARG00000102141",907,799,750,827,940,3354
"ENSDARG00000105725",1,2,2,5,3,3
"ENSDARG00000099787",31,35,41,26,40,92
"ENSDARG00000070546",1539,2566,1964,1259,1084,4403
"ENSDARG00000045914",12510,10805,9965,12071,13080,52409
"ENSDARG00000045913",1351,1320,1197,1159,1117,6194
"ENSDARG00000045911",1397,1027,1208,1051,1592,2116
"ENSDARG00000102361",0,0,0,0,0,0
"ENSDARG00000045910",867,703,887,722,874,3105
"ENSDARG00000045909",375,392,343,472,410,2151
"ENSDARG00000025073",56638,49024,42431,55394,47441,271273
"ENSDARG00000084828",10,12,4,3,2,28
"ENSDARG00000084784",13,9,9,14,18,60
"ENSDARG00000095951",1,1,2,1,1,12
"ENSDARG00000093924",0,0,1,1,2,6
"ENSDARG00000031737",9,6,9,6,25,33
"ENSDARG00000099652",3818,3821,3545,3410,4399,11140
"ENSDARG00000101047",1122,1029,1038,755,1134,3937
"ENSDARG00000102104",0,3,2,5,3,6
"ENSDARG00000099833",420,439,452,319,424,1710
"ENSDARG00000103870",106,164,93,122,119,677
"ENSDARG00000096118",1033,1165,1096,1032,1152,5964
"ENSDARG00000045900",440,378,515,475,571,1497
"ENSDARG00000016968",2197,2259,2691,2402,3326,9146
"ENSDARG00000102878",395,284,330,281,327,954
"ENSDARG00000059311",306,253,246,336,307,1531
"ENSDARG00000017386",251,187,268,234,309,425
"ENSDARG00000045898",555,552,459,720,448,3060
"ENSDARG00000006060",631,680,621,745,953,2686
"ENSDARG00000103050",2,2,0,0,0,2
"ENSDARG00000104018",5340,5035,5635,4456,5526,16405
"ENSDARG00000070535",76,100,60,70,58,279
"ENSDARG00000013789",125,74,56,79,128,332
"ENSDARG00000063686",481,576,525,443,468,2240
"ENSDARG00000087962",1916,1686,1614,1695,1970,6417
"ENSDARG00000099313",959,1242,1622,986,1457,4288
"ENSDARG00000103102",18,10,8,3,12,23
"ENSDARG00000102157",0,0,0,0,0,0
"ENSDARG00000098612",1,1,2,2,7,2
"ENSDARG00000102340",167,95,125,151,136,447
"ENSDARG00000099129",222,228,197,221,249,1107
"ENSDARG00000101813",35208,32112,29229,28932,34309,119985
"ENSDARG00000098551",52,42,30,46,74,62
"ENSDARG00000025601",0,3,1,0,0,0
"ENSDARG00000063672",646,519,531,621,713,2478
"ENSDARG00000018149",2348,2029,1645,2203,2355,10564
"ENSDARG00000095920",0,1,0,0,0,1
"ENSDARG00000045886",1832,2080,1402,1466,1339,5257
"ENSDARG00000045885",3813,3644,3620,3836,5130,12688
"ENSDARG00000007413",3870,3111,2918,3337,4292,10208
"ENSDARG00000097341",53,49,41,33,23,193
"ENSDARG00000045880",348,292,308,314,376,575
"ENSDARG00000009657",1134,1078,1123,1184,1107,5320
"ENSDARG00000093658",1235,935,1034,1113,1386,4492
"ENSDARG00000026839",937,818,652,825,885,4413
"ENSDARG00000016979",1132,1203,1150,1013,1095,4154
"ENSDARG00000070477",2619,3054,2548,1646,2606,8340
"ENSDARG00000045878",513,685,2313,440,902,1226
"ENSDARG00000045877",4684,5008,4446,3672,4109,19158
"ENSDARG00000079391",954,824,765,929,818,4854
"ENSDARG00000015921",2537,3036,2527,2016,2287,9043
"ENSDARG00000099520",0,3,0,0,5,8
"ENSDARG00000061544",42,44,83,98,105,210
"ENSDARG00000020812",6,4,27,8,17,8
"ENSDARG00000094007",0,0,1,0,2,1
"ENSDARG00000093685",0,0,0,0,0,0
"ENSDARG00000059196",0,1,5,0,1,1
"ENSDARG00000009262",118,130,168,48,119,62
"ENSDARG00000018618",8015,7644,7022,7177,8646,27547
"ENSDARG00000045874",2051,1827,1717,1855,1815,8742
"ENSDARG00000057468",10,4,7,3,7,27
"ENSDARG00000045873",409,431,410,319,494,927
"ENSDARG00000079143",110,102,106,102,91,188
"ENSDARG00000057714",367,484,542,430,555,1610
"ENSDARG00000045224",17,17,24,24,12,72
"ENSDARG00000011246",1545,1631,1370,1379,1427,5190
"ENSDARG00000053709",10,8,4,7,11,28
"ENSDARG00000039724",31,21,21,25,33,55
"ENSDARG00000070441",343,329,379,364,495,411
"ENSDARG00000011961",511,463,425,574,419,2412
"ENSDARG00000008986",2232,1912,1950,2384,2580,9439
"ENSDARG00000008235",511,554,588,561,628,2055
"ENSDARG00000004592",75,51,48,66,81,274
"ENSDARG00000006567",430,415,516,299,336,1763
"ENSDARG00000016231",343,362,502,369,518,811
"ENSDARG00000016749",60,46,66,58,84,203
"ENSDARG00000004227",205,195,274,234,378,330
"ENSDARG00000006038",2146,1946,1627,1891,2013,8552
"ENSDARG00000045870",1156,746,771,1275,1177,4364
"ENSDARG00000060248",17,14,9,19,13,96
"ENSDARG00000017757",85,97,201,66,80,306
"ENSDARG00000030598",441,345,554,390,634,685
"ENSDARG00000077356",45,55,53,52,84,65
"ENSDARG00000097907",0,2,1,1,1,6
"ENSDARG00000089860",108,86,123,107,135,227
"ENSDARG00000097073",4,4,1,2,2,12
"ENSDARG00000039843",460,493,551,471,468,1796
"ENSDARG00000077654",19,6,13,25,17,92
"ENSDARG00000080242",0,0,0,0,0,0
"ENSDARG00000070414",0,1,2,2,1,7
"ENSDARG00000067495",1,0,0,0,1,0
"ENSDARG00000045867",0,1,0,0,4,2
"ENSDARG00000095979",7,7,6,7,6,64
"ENSDARG00000094531",0,0,0,0,0,0
"ENSDARG00000033296",125,123,119,128,170,409
"ENSDARG00000104357",6,3,6,5,7,9
"ENSDARG00000006283",885,875,966,973,1072,4119
"ENSDARG00000045864",29,27,28,51,54,147
"ENSDARG00000045863",4,4,2,2,11,18
